FECHA DEL CAMBIO: 1/02/2023",,,,,,,,,,,,"ASUNTO DEL CAMBIO: Se modifica el encabezado y se integra dentro del SGI.
ASUNTO DEL CAMBIO: Se incluye el espacio para las observaciones por parte de control de obra.
 ASUNTO DEL CAMBIO: Se incluye espacio para reporte de instalación de puentes y entrega al CTE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCIÓN DE EJECUTADO,,,,,,,,,,,domingo,,2026-02-01 00:00:00,,,DESCRIPCIÓN PROGRAMADO,,,lunes,,,,,2026-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SUMINISTROS,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVACIONES 
CONTROL DE OBRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ÍTEM,ACTIVIDAD,,,,,ACUMULADO,,DESCRIPCIÓN DE EJECUTADO,,,,,,,,DESCRIPCIÓN PROGRAMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T021,T21,B1,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T021,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T021,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T021,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T022,T22,C7,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,Mec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T022,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T022,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T022,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T023,T23,B6,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T023,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T023,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T023,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T024,T24,B7,HELICOIDAL,1,1,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T024,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T024,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T024,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T025,T25,A3,HELICOIDAL,1,0,A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T025,,,,,,B,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T025,,,,,,C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T025,,,,,,D,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T026,T26,B3,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T026,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T026,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T026,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T027,T27,A6,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T027,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T027,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T027,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T028,T28,B5,HELICOIDAL,1,0,A,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T028,,,,,,B,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T028,,,,,,C,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T028,,,,,,D,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T029,T29,C4,HELICOIDAL,1,0,A,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T029,,,,,,B,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T029,,,,,,C,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
